id,font_name,family_name,foundry,country,style,weight,optical_size,width,google_equivalent,serif_angle,contrast,x_height_ratio,stroke_width,geometric_index
2976,Bodoni Poster Deck Expanded Black Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Deck,Expanded,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
2977,Bodoni Poster Banner Thin,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.15,0.72
2978,Bodoni Poster Banner Thin Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.15,0.72
2979,Bodoni Poster Banner Condensed Thin,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.15,0.45
2980,Bodoni Poster Banner Condensed Thin Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.15,0.45
2981,Bodoni Poster Banner Expanded Thin,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.15,0.72
2982,Bodoni Poster Banner Expanded Thin Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.15,0.72
2983,Bodoni Poster Banner Light,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.15,0.72
2984,Bodoni Poster Banner Light Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.15,0.72
2985,Bodoni Poster Banner Condensed Light,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.15,0.45
2986,Bodoni Poster Banner Condensed Light Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.15,0.45
2987,Bodoni Poster Banner Expanded Light,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.15,0.72
2988,Bodoni Poster Banner Expanded Light Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.15,0.72
2989,Bodoni Poster Banner Regular,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.5,0.72
2990,Bodoni Poster Banner Regular Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.5,0.72
2991,Bodoni Poster Banner Condensed Regular,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.5,0.45
2992,Bodoni Poster Banner Condensed Regular Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.5,0.45
2993,Bodoni Poster Banner Expanded Regular,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.5,0.72
2994,Bodoni Poster Banner Expanded Regular Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.5,0.72
2995,Bodoni Poster Banner Medium,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.5,0.72
2996,Bodoni Poster Banner Medium Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.5,0.72
2997,Bodoni Poster Banner Condensed Medium,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.5,0.45
2998,Bodoni Poster Banner Condensed Medium Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.5,0.45
2999,Bodoni Poster Banner Expanded Medium,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.5,0.72
3000,Bodoni Poster Banner Expanded Medium Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.5,0.72
3001,Bodoni Poster Banner SemiBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3002,Bodoni Poster Banner SemiBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3003,Bodoni Poster Banner Condensed SemiBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.85,0.45
3004,Bodoni Poster Banner Condensed SemiBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.85,0.45
3005,Bodoni Poster Banner Expanded SemiBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3006,Bodoni Poster Banner Expanded SemiBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3007,Bodoni Poster Banner Bold,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3008,Bodoni Poster Banner Bold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3009,Bodoni Poster Banner Condensed Bold,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.85,0.45
3010,Bodoni Poster Banner Condensed Bold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.85,0.45
3011,Bodoni Poster Banner Expanded Bold,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3012,Bodoni Poster Banner Expanded Bold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3013,Bodoni Poster Banner ExtraBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3014,Bodoni Poster Banner ExtraBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3015,Bodoni Poster Banner Condensed ExtraBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.85,0.45
3016,Bodoni Poster Banner Condensed ExtraBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.85,0.45
3017,Bodoni Poster Banner Expanded ExtraBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3018,Bodoni Poster Banner Expanded ExtraBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3019,Bodoni Poster Banner Black,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3020,Bodoni Poster Banner Black Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Banner,Normal,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3021,Bodoni Poster Banner Condensed Black,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.85,0.45
3022,Bodoni Poster Banner Condensed Black Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Banner,Condensed,Bodoni Moda,0.85,0.8,0.58,0.85,0.45
3023,Bodoni Poster Banner Expanded Black,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3024,Bodoni Poster Banner Expanded Black Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Banner,Expanded,Bodoni Moda,0.85,0.8,0.58,0.85,0.72
3025,Bodoni Poster Caption Thin,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.15,0.72
3026,Bodoni Poster Caption Thin Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.15,0.72
3027,Bodoni Poster Caption Condensed Thin,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.15,0.45
3028,Bodoni Poster Caption Condensed Thin Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.15,0.45
3029,Bodoni Poster Caption Expanded Thin,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.15,0.72
3030,Bodoni Poster Caption Expanded Thin Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Thin 100,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.15,0.72
3031,Bodoni Poster Caption Light,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.15,0.72
3032,Bodoni Poster Caption Light Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.15,0.72
3033,Bodoni Poster Caption Condensed Light,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.15,0.45
3034,Bodoni Poster Caption Condensed Light Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.15,0.45
3035,Bodoni Poster Caption Expanded Light,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.15,0.72
3036,Bodoni Poster Caption Expanded Light Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Light 300,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.15,0.72
3037,Bodoni Poster Caption Regular,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.5,0.72
3038,Bodoni Poster Caption Regular Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.5,0.72
3039,Bodoni Poster Caption Condensed Regular,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.5,0.45
3040,Bodoni Poster Caption Condensed Regular Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.5,0.45
3041,Bodoni Poster Caption Expanded Regular,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.5,0.72
3042,Bodoni Poster Caption Expanded Regular Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Regular 400,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.5,0.72
3043,Bodoni Poster Caption Medium,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.5,0.72
3044,Bodoni Poster Caption Medium Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.5,0.72
3045,Bodoni Poster Caption Condensed Medium,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.5,0.45
3046,Bodoni Poster Caption Condensed Medium Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.5,0.45
3047,Bodoni Poster Caption Expanded Medium,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.5,0.72
3048,Bodoni Poster Caption Expanded Medium Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Medium 500,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.5,0.72
3049,Bodoni Poster Caption SemiBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3050,Bodoni Poster Caption SemiBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3051,Bodoni Poster Caption Condensed SemiBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.85,0.45
3052,Bodoni Poster Caption Condensed SemiBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.85,0.45
3053,Bodoni Poster Caption Expanded SemiBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3054,Bodoni Poster Caption Expanded SemiBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,SemiBold 600,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3055,Bodoni Poster Caption Bold,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3056,Bodoni Poster Caption Bold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3057,Bodoni Poster Caption Condensed Bold,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.85,0.45
3058,Bodoni Poster Caption Condensed Bold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.85,0.45
3059,Bodoni Poster Caption Expanded Bold,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3060,Bodoni Poster Caption Expanded Bold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Bold 700,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3061,Bodoni Poster Caption ExtraBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3062,Bodoni Poster Caption ExtraBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3063,Bodoni Poster Caption Condensed ExtraBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.85,0.45
3064,Bodoni Poster Caption Condensed ExtraBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.85,0.45
3065,Bodoni Poster Caption Expanded ExtraBold,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3066,Bodoni Poster Caption Expanded ExtraBold Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,ExtraBold 800,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3067,Bodoni Poster Caption Black,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3068,Bodoni Poster Caption Black Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Caption,Normal,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3069,Bodoni Poster Caption Condensed Black,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.85,0.45
3070,Bodoni Poster Caption Condensed Black Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Caption,Condensed,Bodoni Moda,0.85,0.8,0.7,0.85,0.45
3071,Bodoni Poster Caption Expanded Black,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3072,Bodoni Poster Caption Expanded Black Italic,Bodoni Poster,Linotype,"Parma, Italy",Serif,Black 900,Caption,Expanded,Bodoni Moda,0.85,0.8,0.7,0.85,0.72
3073,Rockwell Text Thin,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Text,Normal,Arvo,0.5,0.45,0.58,0.15,0.72
3074,Rockwell Text Thin Italic,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Text,Normal,Arvo,0.5,0.45,0.58,0.15,0.72
3075,Rockwell Text Condensed Thin,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Text,Condensed,Arvo,0.5,0.45,0.58,0.15,0.45
3076,Rockwell Text Condensed Thin Italic,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Text,Condensed,Arvo,0.5,0.45,0.58,0.15,0.45
3077,Rockwell Text Expanded Thin,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Text,Expanded,Arvo,0.5,0.45,0.58,0.15,0.72
3078,Rockwell Text Expanded Thin Italic,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Text,Expanded,Arvo,0.5,0.45,0.58,0.15,0.72
3079,Rockwell Text Light,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Text,Normal,Arvo,0.5,0.45,0.58,0.15,0.72
3080,Rockwell Text Light Italic,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Text,Normal,Arvo,0.5,0.45,0.58,0.15,0.72
3081,Rockwell Text Condensed Light,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Text,Condensed,Arvo,0.5,0.45,0.58,0.15,0.45
3082,Rockwell Text Condensed Light Italic,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Text,Condensed,Arvo,0.5,0.45,0.58,0.15,0.45
3083,Rockwell Text Expanded Light,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Text,Expanded,Arvo,0.5,0.45,0.58,0.15,0.72
3084,Rockwell Text Expanded Light Italic,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Text,Expanded,Arvo,0.5,0.45,0.58,0.15,0.72
3085,Rockwell Text Regular,Rockwell,Monotype,"Salfords, UK",Slab,Regular 400,Text,Normal,Arvo,0.5,0.45,0.58,0.5,0.72
3086,Rockwell Text Regular Italic,Rockwell,Monotype,"Salfords, UK",Slab,Regular 400,Text,Normal,Arvo,0.5,0.45,0.58,0.5,0.72
3087,Rockwell Text Condensed Regular,Rockwell,Monotype,"Salfords, UK",Slab,Regular 400,Text,Condensed,Arvo,0.5,0.45,0.58,0.5,0.45
3088,Rockwell Text Condensed Regular Italic,Rockwell,Monotype,"Salfords, UK",Slab,Regular 400,Text,Condensed,Arvo,0.5,0.45,0.58,0.5,0.45
3089,Rockwell Text Expanded Regular,Rockwell,Monotype,"Salfords, UK",Slab,Regular 400,Text,Expanded,Arvo,0.5,0.45,0.58,0.5,0.72
3090,Rockwell Text Expanded Regular Italic,Rockwell,Monotype,"Salfords, UK",Slab,Regular 400,Text,Expanded,Arvo,0.5,0.45,0.58,0.5,0.72
3091,Rockwell Text Medium,Rockwell,Monotype,"Salfords, UK",Slab,Medium 500,Text,Normal,Arvo,0.5,0.45,0.58,0.5,0.72
3092,Rockwell Text Medium Italic,Rockwell,Monotype,"Salfords, UK",Slab,Medium 500,Text,Normal,Arvo,0.5,0.45,0.58,0.5,0.72
3093,Rockwell Text Condensed Medium,Rockwell,Monotype,"Salfords, UK",Slab,Medium 500,Text,Condensed,Arvo,0.5,0.45,0.58,0.5,0.45
3094,Rockwell Text Condensed Medium Italic,Rockwell,Monotype,"Salfords, UK",Slab,Medium 500,Text,Condensed,Arvo,0.5,0.45,0.58,0.5,0.45
3095,Rockwell Text Expanded Medium,Rockwell,Monotype,"Salfords, UK",Slab,Medium 500,Text,Expanded,Arvo,0.5,0.45,0.58,0.5,0.72
3096,Rockwell Text Expanded Medium Italic,Rockwell,Monotype,"Salfords, UK",Slab,Medium 500,Text,Expanded,Arvo,0.5,0.45,0.58,0.5,0.72
3097,Rockwell Text SemiBold,Rockwell,Monotype,"Salfords, UK",Slab,SemiBold 600,Text,Normal,Arvo,0.5,0.45,0.58,0.85,0.72
3098,Rockwell Text SemiBold Italic,Rockwell,Monotype,"Salfords, UK",Slab,SemiBold 600,Text,Normal,Arvo,0.5,0.45,0.58,0.85,0.72
3099,Rockwell Text Condensed SemiBold,Rockwell,Monotype,"Salfords, UK",Slab,SemiBold 600,Text,Condensed,Arvo,0.5,0.45,0.58,0.85,0.45
3100,Rockwell Text Condensed SemiBold Italic,Rockwell,Monotype,"Salfords, UK",Slab,SemiBold 600,Text,Condensed,Arvo,0.5,0.45,0.58,0.85,0.45
3101,Rockwell Text Expanded SemiBold,Rockwell,Monotype,"Salfords, UK",Slab,SemiBold 600,Text,Expanded,Arvo,0.5,0.45,0.58,0.85,0.72
3102,Rockwell Text Expanded SemiBold Italic,Rockwell,Monotype,"Salfords, UK",Slab,SemiBold 600,Text,Expanded,Arvo,0.5,0.45,0.58,0.85,0.72
3103,Rockwell Text Bold,Rockwell,Monotype,"Salfords, UK",Slab,Bold 700,Text,Normal,Arvo,0.5,0.45,0.58,0.85,0.72
3104,Rockwell Text Bold Italic,Rockwell,Monotype,"Salfords, UK",Slab,Bold 700,Text,Normal,Arvo,0.5,0.45,0.58,0.85,0.72
3105,Rockwell Text Condensed Bold,Rockwell,Monotype,"Salfords, UK",Slab,Bold 700,Text,Condensed,Arvo,0.5,0.45,0.58,0.85,0.45
3106,Rockwell Text Condensed Bold Italic,Rockwell,Monotype,"Salfords, UK",Slab,Bold 700,Text,Condensed,Arvo,0.5,0.45,0.58,0.85,0.45
3107,Rockwell Text Expanded Bold,Rockwell,Monotype,"Salfords, UK",Slab,Bold 700,Text,Expanded,Arvo,0.5,0.45,0.58,0.85,0.72
3108,Rockwell Text Expanded Bold Italic,Rockwell,Monotype,"Salfords, UK",Slab,Bold 700,Text,Expanded,Arvo,0.5,0.45,0.58,0.85,0.72
3109,Rockwell Text ExtraBold,Rockwell,Monotype,"Salfords, UK",Slab,ExtraBold 800,Text,Normal,Arvo,0.5,0.45,0.58,0.85,0.72
3110,Rockwell Text ExtraBold Italic,Rockwell,Monotype,"Salfords, UK",Slab,ExtraBold 800,Text,Normal,Arvo,0.5,0.45,0.58,0.85,0.72
3111,Rockwell Text Condensed ExtraBold,Rockwell,Monotype,"Salfords, UK",Slab,ExtraBold 800,Text,Condensed,Arvo,0.5,0.45,0.58,0.85,0.45
3112,Rockwell Text Condensed ExtraBold Italic,Rockwell,Monotype,"Salfords, UK",Slab,ExtraBold 800,Text,Condensed,Arvo,0.5,0.45,0.58,0.85,0.45
3113,Rockwell Text Expanded ExtraBold,Rockwell,Monotype,"Salfords, UK",Slab,ExtraBold 800,Text,Expanded,Arvo,0.5,0.45,0.58,0.85,0.72
3114,Rockwell Text Expanded ExtraBold Italic,Rockwell,Monotype,"Salfords, UK",Slab,ExtraBold 800,Text,Expanded,Arvo,0.5,0.45,0.58,0.85,0.72
3115,Rockwell Text Black,Rockwell,Monotype,"Salfords, UK",Slab,Black 900,Text,Normal,Arvo,0.5,0.45,0.58,0.85,0.72
3116,Rockwell Text Black Italic,Rockwell,Monotype,"Salfords, UK",Slab,Black 900,Text,Normal,Arvo,0.5,0.45,0.58,0.85,0.72
3117,Rockwell Text Condensed Black,Rockwell,Monotype,"Salfords, UK",Slab,Black 900,Text,Condensed,Arvo,0.5,0.45,0.58,0.85,0.45
3118,Rockwell Text Condensed Black Italic,Rockwell,Monotype,"Salfords, UK",Slab,Black 900,Text,Condensed,Arvo,0.5,0.45,0.58,0.85,0.45
3119,Rockwell Text Expanded Black,Rockwell,Monotype,"Salfords, UK",Slab,Black 900,Text,Expanded,Arvo,0.5,0.45,0.58,0.85,0.72
3120,Rockwell Text Expanded Black Italic,Rockwell,Monotype,"Salfords, UK",Slab,Black 900,Text,Expanded,Arvo,0.5,0.45,0.58,0.85,0.72
3121,Rockwell Display Thin,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Display,Normal,Arvo,0.5,0.45,0.52,0.15,0.72
3122,Rockwell Display Thin Italic,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Display,Normal,Arvo,0.5,0.45,0.52,0.15,0.72
3123,Rockwell Display Condensed Thin,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Display,Condensed,Arvo,0.5,0.45,0.52,0.15,0.45
3124,Rockwell Display Condensed Thin Italic,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Display,Condensed,Arvo,0.5,0.45,0.52,0.15,0.45
3125,Rockwell Display Expanded Thin,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Display,Expanded,Arvo,0.5,0.45,0.52,0.15,0.72
3126,Rockwell Display Expanded Thin Italic,Rockwell,Monotype,"Salfords, UK",Slab,Thin 100,Display,Expanded,Arvo,0.5,0.45,0.52,0.15,0.72
3127,Rockwell Display Light,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Display,Normal,Arvo,0.5,0.45,0.52,0.15,0.72
3128,Rockwell Display Light Italic,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Display,Normal,Arvo,0.5,0.45,0.52,0.15,0.72
3129,Rockwell Display Condensed Light,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Display,Condensed,Arvo,0.5,0.45,0.52,0.15,0.45
3130,Rockwell Display Condensed Light Italic,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Display,Condensed,Arvo,0.5,0.45,0.52,0.15,0.45
3131,Rockwell Display Expanded Light,Rockwell,Monotype,"Salfords, UK",Slab,Light 300,Display,Expanded,Arvo,0.5,0.45,0.52,0.15,0.72
